,Name,Developer,Link,Release_Date,Since_Release,Rating,Prices,Date_Checked,Sale_Event
0,The Black Watchmen,Alice & Smith,https://steamdb.info/app/349220/,27 August 2015,2348 days,😋 84.49%,"['In Argentine Peso: 1782.93Rp', 'In Turkish Lira: 1963.32Rp', 'In Russian Ruble: 4598.60Rp', 'In Brazilian Real: 5519.59Rp', 'In Kazakhstani Tenge: 6118.59Rp', 'In Indian Rupee: 6520.33Rp', 'In Colombian Peso: 6723.96Rp', 'In Indonesian Rupiah: 6999Rp', 'In Uruguayan Peso: 7201.11Rp', 'In South African Rand: 7287.01Rp', 'In Vietnamese Dong: 7620.34Rp', 'In South Asia - USD: 7767.03Rp', 'In Chilean Peso: 7780.73Rp', 'In Mexican Peso: 7874.15Rp', 'In Ukrainian Hryvnia: 8042.65Rp', 'In Malaysian Ringgit: 8067.06Rp', 'In Thai Baht: 8139.35Rp', 'In Philippine Peso: 8156.78Rp', 'In Peruvian Sol: 8221.22Rp', 'In Chinese Yuan: 8365.99Rp', 'In Saudi Riyal: 8395.41Rp', 'In CIS - U.S. Dollar: 8917.70Rp', 'In Kuwaiti Dinar: 9021.34Rp', 'In Taiwan Dollar: 9298.94Rp', 'In Hong Kong Dollar: 9597.60Rp', 'In Qatari Riyal: 9836.49Rp', 'In Costa Rican Colon: 10330.91Rp', 'In Singapore Dollar: 10615.64Rp', 'In U.A.E. Dirham: 11356.34Rp', 'In Norwegian Krone: 11532.21Rp', 'In New Zealand Dollar: 11577.85Rp', 'In South Korean Won: 12483.42Rp', 'In Polish Zloty: 12562.48Rp', 'In Japanese Yen: 12604.42Rp', 'In Canadian Dollar: 12842.52Rp', 'In Euro: 12989.67Rp', 'In British Pound: 13689.47Rp', 'In U.S. Dollar: 14239.56Rp', 'In Australian Dollar: 14574.74Rp', 'In Swiss Franc: 16227.40Rp', 'In Israeli New Shekel: 16573.47Rp']",30 Jan 2022,Steam Lunar New Year Sale 2022
1,Frozen Synapse,Mode 7,https://steamdb.info/app/98200/,26 May 2011,3902 days,😏 79.25%,"['In Argentine Peso: 3841.75Rp', 'In Turkish Lira: 4138.89Rp', 'In Russian Ruble: 8093.55Rp', 'In Indian Rupee: 10739.38Rp', 'In Kazakhstani Tenge: 10914.25Rp', 'In Indonesian Rupiah: 11999Rp', 'In Colombian Peso: 12175.83Rp', 'In Brazilian Real: 12298.51Rp', 'In Thai Baht: 13737.85Rp', 'In South African Rand: 13836.10Rp', 'In Vietnamese Dong: 13970.62Rp', 'In Malaysian Ringgit: 15104.28Rp', 'In Saudi Riyal: 15295.74Rp', 'In Philippine Peso: 15472.28Rp', 'In Mexican Peso: 15616.96Rp', 'In Ukrainian Hryvnia: 16085.30Rp', 'In Chilean Peso: 16799.31Rp', 'In Peruvian Sol: 16816.13Rp', 'In Uruguayan Peso: 17020.82Rp', 'In Chinese Yuan: 17636.41Rp', 'In CIS - U.S. Dollar: 17835.41Rp', 'In Taiwan Dollar: 19114.49Rp', 'In Qatari Riyal: 19712.48Rp', 'In Kuwaiti Dinar: 19941.92Rp', 'In Hong Kong Dollar: 20118.05Rp', 'In Singapore Dollar: 23354.41Rp', 'In Costa Rican Colon: 23581.43Rp', 'In U.A.E. Dirham: 25845.47Rp', 'In Norwegian Krone: 27228.85Rp', 'In New Zealand Dollar: 28144.55Rp', 'In South Korean Won: 30911.33Rp', 'In Japanese Yen: 30949.47Rp', 'In Canadian Dollar: 31430.38Rp', 'In Polish Zloty: 31458.69Rp', 'In U.S. Dollar: 35814.66Rp', 'In South Asia - USD: 35814.66Rp', 'In Australian Dollar: 36085.04Rp', 'In British Pound: 36441Rp', 'In Euro: 36723.88Rp', 'In Swiss Franc: 37091.21Rp', 'In Israeli New Shekel: 41725.64Rp']",30 Jan 2022,Steam Lunar New Year Sale 2022
2,Disciples II: Gallean's Return,Strategy First,https://steamdb.info/app/1640/,,,,"['In Turkish Lira: 1379.63Rp', 'In Argentine Peso: 1629.21Rp', 'In Russian Ruble: 2943.10Rp', 'In Brazilian Real: 3724.38Rp', 'In Mexican Peso: 5523.66Rp', 'In Kazakhstani Tenge: 5787.86Rp', 'In Malaysian Ringgit: 5835.74Rp', 'In Indian Rupee: 5945.01Rp', 'In Indonesian Rupiah: 5999Rp', 'In Colombian Peso: 6069.74Rp', 'In Philippine Peso: 6468.59Rp', 'In Uruguayan Peso: 6546.46Rp', 'In Chinese Yuan: 6964.12Rp', 'In South African Rand: 7010.29Rp', 'In CIS - U.S. Dollar: 7047.86Rp', 'In Chilean Peso: 7073.39Rp', 'In Thai Baht: 7278.04Rp', 'In Vietnamese Dong: 7302.82Rp', 'In Peruvian Sol: 7810.16Rp', 'In Singapore Dollar: 7961.73Rp', 'In New Zealand Dollar: 8000.95Rp', 'In Norwegian Krone: 8008.48Rp', 'In Ukrainian Hryvnia: 8042.65Rp', 'In Kuwaiti Dinar: 8546.54Rp', 'In Japanese Yen: 8610.94Rp', 'In Canadian Dollar: 8674.33Rp', 'In Qatari Riyal: 8848.89Rp', 'In South Korean Won: 8916.72Rp', 'In Saudi Riyal: 9200.44Rp', 'In Costa Rican Colon: 9207.98Rp', 'In U.A.E. Dirham: 9398.35Rp', 'In British Pound: 9447.66Rp', 'In U.S. Dollar: 9924.54Rp', 'In Australian Dollar: 9951.03Rp', 'In Taiwan Dollar: 10332.16Rp', 'In Hong Kong Dollar: 10705.01Rp', 'In Swiss Franc: 10818.27Rp', 'In Euro: 11065.27Rp', 'In Polish Zloty: 11127.77Rp', 'In South Asia - USD: 12513.55Rp', 'In Israeli New Shekel: 14552.32Rp']",30 Jan 2022,Steam Lunar New Year Sale 2022
3,WRC 4 FIA World Rally Championship,Milestone S.r.l.,https://steamdb.info/app/256330/,25 October 2013,3019 days,😌 67.48%,,,
4,WRC 6 FIA World Rally Championship,KT Racing,https://steamdb.info/app/458770/,7 October 2016,1941 days,😌 60.65%,,,
5,Initial Drift Online,RewindApp,https://steamdb.info/app/1456200/,8 December 2020,418 days,😏 77.86%,"['In Argentine Peso: 1025.29Rp', 'In Turkish Lira: 1114.31Rp', 'In Russian Ruble: 2759.16Rp', 'In Brazilian Real: 3188.50Rp', 'In Uruguayan Peso: 3927.88Rp', 'In Colombian Peso: 3958.05Rp', 'In Indian Rupee: 4027.26Rp', 'In Kazakhstani Tenge: 4167.25Rp', 'In South Asia - USD: 4171.18Rp', 'In Indonesian Rupiah: 4399Rp', 'In CIS - U.S. Dollar: 4602.68Rp', 'In South African Rand: 4648.93Rp', 'In Chilean Peso: 4668.44Rp', 'In Peruvian Sol: 4708.51Rp', 'In Vietnamese Dong: 4762.71Rp', 'In Mexican Peso: 4804.68Rp', 'In Ukrainian Hryvnia: 5026.65Rp', 'In Thai Baht: 5116.16Rp', 'In Malaysian Ringgit: 5149.18Rp', 'In Kuwaiti Dinar: 5222.88Rp', 'In Philippine Peso: 5399.40Rp', 'In Saudi Riyal: 5481.93Rp', 'In Qatari Riyal: 5609.56Rp', 'In Taiwan Dollar: 5682.68Rp', 'In Hong Kong Dollar: 5684.73Rp', 'In U.A.E. Dirham: 5873.97Rp', 'In Costa Rican Colon: 5951.50Rp', 'In Singapore Dollar: 6050.91Rp', 'In Polish Zloty: 6263.74Rp', 'In Japanese Yen: 6489.40Rp', 'In New Zealand Dollar: 6494.89Rp', 'In Norwegian Krone: 6518.90Rp', 'In South Korean Won: 6538.93Rp', 'In Chinese Yuan: 6964.12Rp', 'In Canadian Dollar: 6984.52Rp', 'In U.S. Dollar: 7047.86Rp', 'In Australian Dollar: 7538.65Rp', 'In Swiss Franc: 7727.33Rp', 'In Euro: 7857.94Rp', 'In Israeli New Shekel: 8309.19Rp', 'In British Pound: 9447.66Rp']",30 Jan 2022,Steam Lunar New Year Sale 2022
6,1001 Spikes,"Nicalis, Inc.",https://steamdb.info/app/260790/,3 June 2014,2798 days,😏 77.44%,"['In Argentine Peso: 2963.32Rp', 'In Turkish Lira: 3056.41Rp', 'In Russian Ruble: 7541.71Rp', 'In Brazilian Real: 8976.03Rp', 'In Kazakhstani Tenge: 9525.16Rp', 'In Indian Rupee: 10547.60Rp', 'In Colombian Peso: 10903.73Rp', 'In Indonesian Rupiah: 11519Rp', 'In South African Rand: 11622.33Rp', 'In Thai Baht: 12351.14Rp', 'In Mexican Peso: 12436.87Rp', 'In Vietnamese Dong: 12700.57Rp', 'In Uruguayan Peso: 12765.61Rp', 'In Malaysian Ringgit: 12769.98Rp', 'In Chinese Yuan: 13023.81Rp', 'In Philippine Peso: 13134.13Rp', 'In Saudi Riyal: 13340.65Rp', 'In Ukrainian Hryvnia: 13571.97Rp', 'In Chilean Peso: 13580.92Rp', 'In Peruvian Sol: 13901.33Rp', 'In CIS - U.S. Dollar: 14527.23Rp', 'In Kuwaiti Dinar: 15668.65Rp', 'In Qatari Riyal: 16078.12Rp', 'In Taiwan Dollar: 16531.45Rp', 'In Hong Kong Dollar: 16832.71Rp', 'In Costa Rican Colon: 17517.63Rp', 'In Singapore Dollar: 18471.21Rp', 'In Euro: 19083.59Rp', 'In Norwegian Krone: 19220.36Rp', 'In U.A.E. Dirham: 19736.54Rp', 'In New Zealand Dollar: 20237.72Rp', 'In Japanese Yen: 22088.94Rp', 'In South Korean Won: 22113.49Rp', 'In Polish Zloty: 22640.46Rp', 'In Canadian Dollar: 22868.70Rp', 'In British Pound: 22944.33Rp', 'In U.S. Dollar: 25746.28Rp', 'In South Asia - USD: 25746.28Rp', 'In Australian Dollar: 25932.98Rp', 'In Swiss Franc: 27818.40Rp', 'In Israeli New Shekel: 30137.68Rp']",30 Jan 2022,Steam Lunar New Year Sale 2022
7,GRIP: Combat Racing,Caged Element Inc.,https://steamdb.info/app/396900/,6 November 2018,1181 days,😋 82.08%,"['In Argentine Peso: 6792.72Rp', 'In Turkish Lira: 7959.41Rp', 'In Russian Ruble: 14163.71Rp', 'In Kazakhstani Tenge: 19347.99Rp', 'In Indian Rupee: 19944.56Rp', 'In Indonesian Rupiah: 20999Rp', 'In Colombian Peso: 21534.87Rp', 'In South Asia - USD: 22581.93Rp', 'In Brazilian Real: 23284.11Rp', 'In Vietnamese Dong: 23813.57Rp', 'In South African Rand: 24213.18Rp', 'In Thai Baht: 24482.65Rp', 'In Malaysian Ringgit: 26260.86Rp', 'In Saudi Riyal: 26987.98Rp', 'In Philippine Peso: 27430.31Rp', 'In Ukrainian Hryvnia: 28149.28Rp', 'In Mexican Peso: 29028.60Rp', 'In Peruvian Sol: 29708.50Rp', 'In Uruguayan Peso: 30113.75Rp', 'In Chilean Peso: 30504.02Rp', 'In Chinese Yuan: 30524.56Rp', 'In CIS - U.S. Dollar: 31211.97Rp', 'In Taiwan Dollar: 33579.52Rp', 'In Kuwaiti Dinar: 35135.77Rp', 'In Qatari Riyal: 35514.08Rp', 'In Hong Kong Dollar: 35714.15Rp', 'In Singapore Dollar: 41401Rp', 'In Costa Rican Colon: 41772.82Rp', 'In U.A.E. Dirham: 46404.38Rp', 'In Norwegian Krone: 49732.69Rp', 'In New Zealand Dollar: 52147.42Rp', 'In South Korean Won: 55283.72Rp', 'In Polish Zloty: 56653.65Rp', 'In Canadian Dollar: 57340.73Rp', 'In Japanese Yen: 57780.67Rp', 'In U.S. Dollar: 64581.46Rp', 'In Australian Dollar: 64731.95Rp', 'In Swiss Franc: 69546.02Rp', 'In Euro: 72004.47Rp', 'In British Pound: 72110.77Rp', 'In Israeli New Shekel: 74737.86Rp']",30 Jan 2022,Steam Lunar New Year Sale 2022
8,WRC 7 FIA World Rally Championship,KT Racing,https://steamdb.info/app/621830/,15 September 2017,1598 days,😏 73.03%,,,
9,Blood Bowl: Chaos Edition,,https://steamdb.info/app/216890/,,,,,,
10,Blood Bowl 2,,https://steamdb.info/app/236690/,,,,,,
11,Outcast - Second Contact,,https://steamdb.info/app/618970/,,,,,,
12,Truberbrook / Trüberbrook,,https://steamdb.info/app/757300/,,,,,,
13,Dakar 18,,https://steamdb.info/app/767390/,,,,,,
14,Plane Mechanic Simulator,,https://steamdb.info/app/803980/,,,,,,
15,Vambrace: Cold Soul,,https://steamdb.info/app/904380/,,,,,,
16,Punch Club,,https://steamdb.info/app/394310/,,,,,,
17,WRC 8 FIA World Rally Championship,,https://steamdb.info/app/1004750/,,,,,,
18,Battlefield 3™,,https://steamdb.info/app/1238820/,,,,,,
19,NITE Team 4 - Military Hacking Division,,https://steamdb.info/app/544390/,,,,,,
20,Dark Elf,,https://steamdb.info/app/665180/,,,,,,
21,Iris.Fall,,https://steamdb.info/app/907470/,,,,,,
22,Bladed fury,,https://steamdb.info/app/927250/,,,,,,
23,The Heiress,,https://steamdb.info/app/680320/,,,,,,
24,Dead Island Definitive Edition,,https://steamdb.info/app/383150/,,,,,,
25,Hover,,https://steamdb.info/app/280180/,,,,,,
26,Pro Cycling Manager 2019,,https://steamdb.info/app/936140/,,,,,,
27,Dead Island: Riptide Definitive Edition,,https://steamdb.info/app/383180/,,,,,,
28,Master Reboot,,https://steamdb.info/app/251850/,,,,,,
29,Vampire: The Masquerade - Coteries of New York,,https://steamdb.info/app/1096410/,,,,,,
30,Battlefleet Gothic: Armada,,https://steamdb.info/app/363680/,,,,,,
31,V-Rally 4,,https://steamdb.info/app/658700/,,,,,,
32,Halo Wars: Definitive Edition,,https://steamdb.info/app/459220/,,,,,,
33,Northgard,,https://steamdb.info/app/466560/,,,,,,
34,Pro Cycling Manager 2020,,https://steamdb.info/app/1178400/,,,,,,
35,Need for Speed™ Hot Pursuit Remastered,,https://steamdb.info/app/1328660/,,,,,,
36,Milk outside a bag of milk outside a bag of milk,,https://steamdb.info/app/1604000/,,,,,,
37,King Exit,,https://steamdb.info/app/712840/,,,,,,
38,HELLDIVERS™ Dive Harder Edition,,https://steamdb.info/app/394510/,,,,,,
39,Material Girl,,https://steamdb.info/app/644570/,,,,,,
40,XIII - Classic,,https://steamdb.info/app/1170760/,,,,,,
41,Otaku's Fantasy,,https://steamdb.info/app/712050/,,,,,,
42,Project Warlock,,https://steamdb.info/app/893680/,,,,,,
43,Crashday Redline Edition,,https://steamdb.info/app/508980/,,,,,,
44,Project Nimbus: Complete Edition,,https://steamdb.info/app/257030/,,,,,,
45,DOOM 3 Resurrection of Evil,,https://steamdb.info/app/9070/,,,,,,
46,The Surge 2,,https://steamdb.info/app/644830/,,,,,,
47,The Surge,,https://steamdb.info/app/378540/,,,,,,
48,Remothered: Tormented Fathers,,https://steamdb.info/app/633360/,,,,,,
49,Killing Time,,https://steamdb.info/app/686190/,,,,,,
50,Garbage,,https://steamdb.info/app/1253710/,,,,,,
51,TT Isle of Man Ride on the Edge,,https://steamdb.info/app/626610/,,,,,,
52,FOR HONOR™,,https://steamdb.info/app/304390/,,,,,,
53,Darksburg,,https://steamdb.info/app/939100/,,,,,,
54,Space Hulk: Tactics,,https://steamdb.info/app/492230/,,,,,,
55,Otaku's Fantasy 2,,https://steamdb.info/app/788130/,,,,,,
56,Tower Hunter: Erza's Trial,,https://steamdb.info/app/844850/,,,,,,
57,DJMAX RESPECT V,,https://steamdb.info/app/960170/,,,,,,
58,STAR WARS™: Squadrons,,https://steamdb.info/app/1222730/,,,,,,
59,Car Mechanic Simulator 2018,,https://steamdb.info/app/645630/,,,,,,
60,Tricolour Lovestory,,https://steamdb.info/app/668630/,,,,,,
61,Void Bastards,,https://steamdb.info/app/857980/,,,,,,
62,My Island,,https://steamdb.info/app/1004270/,,,,,,
63,Fox Hime Zero,,https://steamdb.info/app/844930/,,,,,,
64,The Vagrant,,https://steamdb.info/app/598700/,,,,,,
65,妄想症：Deliver Me,,https://steamdb.info/app/779640/,,,,,,
66,Home Behind,,https://steamdb.info/app/467960/,,,,,,
67,Tangledeep,,https://steamdb.info/app/628770/,,,,,,
68,KumaKuma Manga Editor,,https://steamdb.info/app/1020820/,,,,,,
69,Blades of Time,,https://steamdb.info/app/208670/,,,,,,
70,Puyo Puyo Champions,,https://steamdb.info/app/971620/,,,,,,
71,"Runaway, A Road Adventure",,https://steamdb.info/app/7210/,,,,,,
72,Sakura no Mori † Dreamers,,https://steamdb.info/app/749520/,,,,,,
73,F1® 2021,,https://steamdb.info/app/1134570/,,,,,,
74,Eximius: Seize the Frontline,,https://steamdb.info/app/505740/,,,,,,
75,Iron Harvest,,https://steamdb.info/app/826630/,,,,,,
76,Super Seducer : How to Talk to Girls,,https://steamdb.info/app/695920/,,,,,,
77,Amnesia: Rebirth,,https://steamdb.info/app/999220/,,,,,,
78,Monobeno,,https://steamdb.info/app/758090/,,,,,,
79,Necrobarista,,https://steamdb.info/app/725270/,,,,,,
80,Zombie Army 4: Dead War,,https://steamdb.info/app/694280/,,,,,,
81,Abandon Ship,,https://steamdb.info/app/551860/,,,,,,
82,The Forest,,https://steamdb.info/app/242760/,,,,,,
83,Command & Conquer™ Remastered Collection,,https://steamdb.info/app/1213210/,,,,,,
84,Cat Quest II,,https://steamdb.info/app/914710/,,,,,,
85,Crying Suns,,https://steamdb.info/app/873940/,,,,,,
86,Leisure Suit Larry - Wet Dreams Dry Twice,,https://steamdb.info/app/1373430/,,,,,,
87,Close to the Sun,,https://steamdb.info/app/968870/,,,,,,
88,The Bunker,,https://steamdb.info/app/481110/,,,,,,
89,Bee Simulator,,https://steamdb.info/app/914750/,,,,,,
90,The Fisherman - Fishing Planet,,https://steamdb.info/app/1072480/,,,,,,
91,Super Seducer 2 - Advanced Seduction Tactics,,https://steamdb.info/app/863570/,,,,,,
92,Torment: Tides of Numenera,,https://steamdb.info/app/272270/,,,,,,
93,七人杀阵 - Seven Sacrifices,,https://steamdb.info/app/885140/,,,,,,
94,Disco Elysium - The Final Cut,,https://steamdb.info/app/632470/,,,,,,
95,Halo: The Master Chief Collection,,https://steamdb.info/app/976730/,,,,,,
96,Age of Empires II: Definitive Edition,,https://steamdb.info/app/813780/,,,,,,
97,Utawarerumono: Mask of Truth,,https://steamdb.info/app/1151440/,,,,,,
98,Forager,,https://steamdb.info/app/751780/,,,,,,
99,Atomicrops,,https://steamdb.info/app/757320/,,,,,,
100,Utawarerumono: Mask of Deception,,https://steamdb.info/app/1149550/,,,,,,
101,Cloudpunk,,https://steamdb.info/app/746850/,,,,,,
102,Age of Empires III: Definitive Edition,,https://steamdb.info/app/933110/,,,,,,
103,Evil Genius 2: World Domination,,https://steamdb.info/app/700600/,,,,,,
104,Vampires' Melody,,https://steamdb.info/app/1377360/,,,,,,
105,Yakuza Kiwami 2,,https://steamdb.info/app/927380/,,,,,,
106,AVICII Invector,,https://steamdb.info/app/986800/,,,,,,
107,The Walking Dead: The Final Season,,https://steamdb.info/app/866800/,,,,,,
108,Yakuza Kiwami,,https://steamdb.info/app/834530/,,,,,,
109,Wolf Tails,,https://steamdb.info/app/822930/,,,,,,
110,Shady Part of Me,,https://steamdb.info/app/1116580/,,,,,,
111,OPUS: Rocket of Whispers,,https://steamdb.info/app/742250/,,,,,,
112,Drake Hollow,,https://steamdb.info/app/739650/,,,,,,
113,Vampire: The Masquerade - Shadows of New York,,https://steamdb.info/app/1279630/,,,,,,
114,重明鸟 Bright Bird,,https://steamdb.info/app/1007810/,,,,,,
115,INSOMNIA: The Ark,,https://steamdb.info/app/783170/,,,,,,
116,Nexomon: Extinction,,https://steamdb.info/app/1196630/,,,,,,
117,Gal*Gun 2,,https://steamdb.info/app/851890/,,,,,,
118,Knockout City™,,https://steamdb.info/app/1301210/,,,,,,
119,Embr,,https://steamdb.info/app/1062830/,,,,,,
120,TT Isle of Man Ride on the Edge 2,,https://steamdb.info/app/1082180/,,,,,,
121,TouHou Makuka Sai ~ Fantastic Danmaku Festival Part II,,https://steamdb.info/app/1031480/,,,,,,
122,Zeliria Sanctuary,,https://steamdb.info/app/855630/,,,,,,
123,Sex with Stalin,,https://steamdb.info/app/1085750/,,,,,,
124,Puyo Puyo™ Tetris® 2,,https://steamdb.info/app/1259790/,,,,,,
125,Drug Dealer Simulator,,https://steamdb.info/app/682990/,,,,,,
126,Resident Evil Village,,https://steamdb.info/app/1196590/,,,,,,
127,SCARLET NEXUS,,https://steamdb.info/app/775500/,,,,,,
128,Some Some Convenience Store,,https://steamdb.info/app/1217390/,,,,,,
129,The Jackbox Party Pack 5,,https://steamdb.info/app/774461/,,,,,,
130,Neon Abyss,,https://steamdb.info/app/788100/,,,,,,
131,Ratropolis,,https://steamdb.info/app/1108370/,,,,,,
132,Carto,,https://steamdb.info/app/1172450/,,,,,,
133,The Walking Dead: The Telltale Definitive Series,,https://steamdb.info/app/1449690/,,,,,,
134,Tangle Tower,,https://steamdb.info/app/359510/,,,,,,
135,Lacuna – A Sci-Fi Noir Adventure,,https://steamdb.info/app/1364100/,,,,,,
136,Ring of Pain,,https://steamdb.info/app/998740/,,,,,,
137,Legend Creatures(传奇生物),,https://steamdb.info/app/1191840/,,,,,,
138,Lost in Random™,,https://steamdb.info/app/1462570/,,,,,,
139,Ikenfell,,https://steamdb.info/app/854940/,,,,,,
140,月球坠落时 Moon Fall,,https://steamdb.info/app/1092400/,,,,,,
141,Five Dates,,https://steamdb.info/app/1353270/,,,,,,
142,Puyo Puyo™Tetris®,,https://steamdb.info/app/546050/,,,,,,
143,Fae Tactics,,https://steamdb.info/app/995980/,,,,,,
144,HARDCORE MECHA,,https://steamdb.info/app/746580/,,,,,,
145,Happy Quest,,https://steamdb.info/app/1418160/,,,,,,
146,Fort Triumph,,https://steamdb.info/app/612570/,,,,,,
147,The Complex,,https://steamdb.info/app/1107790/,,,,,,
148,Big Farm Story,,https://steamdb.info/app/1329510/,,,,,,
149,WE ARE FOOTBALL,,https://steamdb.info/app/1196470/,,,,,,
150,Sex with the Devil,,https://steamdb.info/app/1202690/,,,,,,
151,Paratopic,,https://steamdb.info/app/897030/,,,,,,
152,秦殇 (Prince of Qin),,https://steamdb.info/app/970500/,,,,,,
153,Mysteria ~Occult Shadows~,,https://steamdb.info/app/662960/,,,,,,
154,Warhammer Age of Sigmar: Storm Ground,,https://steamdb.info/app/1233590/,,,,,,
