Surname,Gender,Current Institution,Country of current work,Country of birth/citizenship,PhD or highest degree awarding institution,PhD or highest degree awarding country,IPCC representing country (i.e. Country of residence from IPCC doc),IPCC AR5 WGIII chapter,Role in the chapter,Other Institution 1,Other Institution 2,Other Institution 3,Other Institution 4,Other Institution 5,Other Institution 6,Other Institution 7,Other Institution 8,Other Institution 9,Other Institution 10,Other Institution 11,Other Institution 12,Other Institution 13...23,Other Institution 13...24,Other Institution 14,Other Institution 15
Acquaye,1,UoKent,UK,MD,DIT,Ireland,UK,10,LA,UoYork,UoSheffield,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agrawala,1,OECD,France,MD,UoPrinceton,USA,France,14,CLA,UoPrinceton,UoColumbia,UoHarvard,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Akbari,1,UoConcordia,Canada,MD,UoCalifornia_Berkeley,USA,Canada,9,LA,ACEEE,ASTM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Allwood,1,UoCambridge,UK,UK,ICL,UK,UK,10,LA,Alcoa_TC,UoCambridge,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Babiker,1,Saudi_Aramco,Saudi_Arabia,Saudi_Arabia,MD,MD,Saudi_Arabia,6,LA,MD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Barreto-Gómez,1,AEA,Austria,MD,ETH_Zurich,Austria,Austria,14,LA,UPME,UoColombia,PSI,IIASA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Barrett,1,UoLeeds,UK,UK,UoLiverpool,UK,UK,5,LA,CenSA,UoLiverpool,Ove_Arup,UoYork/SEI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bashmakov,1,RCEE,Russia,Russia,MD,MD,Russia,7,CLA,UNEP,UNDP,World_Bank,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bertoldi,1,European_Comission,Italy,Italy,UoPadova,Italy,Italy,9,LA,JET,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blanford,1,EPRI,USA,MD,UoStanford,USA,USA,6,LA,GCEP,UoStanford,IEA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bosetti,0,UoBocconi,Italy,Italy,UoMilano,Italy,Italy,2,LA,ERC,Princeton_EI,CMCC,NOAA,UoSassari,UoMilano,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown,0,SPP_GaTech,USA,MD,UoOhio,USA,USA,9,RE,UoIllinois,UoOhio_Wesleyan,UoOhio,Department_Environmental_Protection_Connecticut,ORNL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bruckner,1,UoLeipzig,Germany,Germany,MD,Germany,Germany,7,CLA,Tech_UoBerlin,UoLeipzig,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bustamante,0,UoBrasilia,Brazil,Brazil,UoTrier,Germany,Brazil,11,CLA,UoBrasilia,MCTI,UERJ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cariño-Olvera,0,UABCS,Mexico,Mexico,EHESS,France,Mexico,3,LA,MD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Carraro,1,UoVenice,Italy,Italy,UoPrinceton,USA,Italy,16,RE/VC,ICCG,CMCC,HEEP,ANU,UoMonaco,CEPR,World_Bank,UoParisI,UoUdine,UoAix-en-Provence,UoParisX,LUISS,ERC,CEPS,FEEM,NA
Ceron,1,UoLimoges,France,France,EHESS,France,France,10,LA,EHESS,EPHE,CIRED,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cervero,1,UoCalifornia_Berkeley,USA,MD,UoCalifornia_LosAngeles,USA,USA,12,RE,Harvard_IID,SCAG,US_Navy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chen, Ying",0,CASS,China,MD,MD,MD,China,4,LA,MD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chum,0,NREL,USA,MD,UoSaoPaulo,Brazil,USA,7,LA,SERI,UoSaoPaulo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Clarke,1,PNNL,USA,USA,UoStanford,USA,USA,6,CLA,RCG/Hagler_Baily,PacificGas_ElectricCompany,LLNL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corbera,1,ICTA-UAB,Spain,Spain,UEA,UK,Spain,4,LA,UoCambridge,UEA,Tyndall_CCR,ICTA-UAB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D'Agosto,1,UFRJ,Brazil,Brazil,COPPE,Brazil,Brazil,8,LA,UFRJ,COPPE,SMTU,Cr4_Consultoria,IME,CBPI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dadhich,1,TERI,India,India,IIT,India,India,1,LA,MD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
deConinck,0,ISIS,Netherlands,Netherlands,UoAmsterdam,Netherlands,Netherlands,5,LA,MPIC,ECN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Den-Elzen,1,MNP,Netherlands,Netherlands,UoMaastricht,Netherlands,Netherlands,13,LA,UNFCCC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dhakal,1,AIT,Thailand,MD,UoTokyo,Japan,Thailand,12,CLA,MD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Diaz-Morejon,1,Science_Ministry,Cuba,Cuba,UoSofia,Bulgaria,Cuba,5,LA,UoHavana,SA_Cuba,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dong,0,IoESDA,China,MD,MD,MD,China,11,LA,MD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dutt,1,IIT,India,India,CMU,USA,India,2,LA,CMU,TCS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Edenhofer,1,PIK,Germany,Germany,Technical_UoDarmstadt,Germany,Germany,-,CC,TU_Darmstadt,IPCC,Tech_UoBerlin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Edmonds,1,PNNL,USA,USA,UoDuke,USA,USA,7,LA,MD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eyre,1,ECI_UoOxford,UK,UK,UoOxford,USA,UK,9,LA,EST,ETSU,European_Comission,NA,NA,NA,UoPennsylvania,NA,NA,NA,NA,NA,NA,NA,NA,NA
Faaij,1,UoUtrecht,Netherlands,Netherlands,UoUtrecht,Netherlands,Netherlands,7,LA,UoUtrecht,Copernicus_Institute,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Figueroa-Meza,0,DTU,Denmark,Venezuela,UoRoskilde,Denmark,Denmark,8,LA,UNEP_Risoe_Centre,UoRoskilde,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fischedick,1,UoWuppertal,Germany,Germany,UoStuttgart,Germany,Germany,10,CLA,WICEE,UoWiesbaden,UoWitten-Herdecke,UoKassel,UoKoblenz-Landau,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fisher-Vanden,0,UoPennsylvania,USA,MD,UoHarvard,USA,USA,6,LA,CDartmouth,UoHarvard,PNNL,AQMD_SouthCoast,WEFA_Group,UoCalifornia_LosAngeles,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gadgil,1,LBNL,USA,MD,UoCalifornia_Berkeley,USA,USA,9,LA,MD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gámez-Vázquez,0,UABCS,Mexico,MD,UoEssex,UK,Mexico,14,LA,MD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Garg,1,IIM,India,MD,Indian_Institute_Technology_Rorkee,India,India,7,LA,UNEP_Risoe_Centre,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Geng,1,CAS,China,China,UoDalhousie,Canada,China,10,LA,NIES,UNIDO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gerlagh,1,UoTilburg,Netherlands,Netherlands,UoVrije,Netherlands,Netherlands,5,CLA,UoVrije,IVM,UoManchester,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gollier,1,UoToulouse,France,Belgium,UCL,Belgium,France,3,LA,EPF,HEC_Paris,UoCalifornia_SanDiego,FNRS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gomes,1,PUC-Rio,Brazil,Brazil,UoMinnesota,USA,Brazil,5,RE,Petroleo_Brasileiro,NA,NA,NA,NA,NA,UoMannheim,GTZ,UoTubingen,UoDarmstadt,UPO,NA,NA,NA,NA,NA
Goulder,1,UoStanford,USA,USA,UoStanford,USA,USA,15,LA,Freeman_Spogli_IIS,UoStanford,UoHarvard,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grübler,1,UoYale,USA,Austria,TechUoVienna,Austria,Austria,1,RE,World_Bank,IIASA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Guan,1,UoLeeds,UK,MD,UoLeeds,UK,UK,14,LA,UoCambridge,WWF,UoYork,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gupta, Joyeeta",0,UoAmsterdam,Netherlands,India,UoVrije,Netherlands,Netherlands,13,LA,UoVrije,UNESCO-IHE,IOCU,CRC_Ahmedabad,UoHarvard,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gupta, Shreekant",1,UoDelhi,India,India,UoMaryland,USA,India,2,CLA,UoSingapore,World_Bank,UoMaryland,India_Government,NIUA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gupta, Sujata",0,Asian_DB,India,India,LBS,UK,India,16,CLA,ERI,Asian_DB,TATA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ha-Duong,1,CIRED,France,France,EHESS,France,France,2,LA,ENPC,CMU,CIRED,UoParis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Haberl,1,UoKlagenfurt,Austria,Austria,UoVienna,Austria,Austria,11,LA,IIASA,EEA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Haites,1,Margaree_Consultants,Canada,Canada,UoPurdue,USA,Canada,16,LA,Barakat_&_Chamberlin,DPA_Group,Middleton_Associates,UoWestern_Ontario,Shell_Canada,Stevenson_Kellogg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Halsnaes,0,UNEP,Denmark,Denmark,UoRoskilde,Denmark,Denmark,14,RE,DTU,Danish_Economics,UoRoskilde,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hanemann,1,UoCalifornia_Berkeley,USA,USA,UoHarvard,USA,USA,3,LA,UoHarvard,UoMassachusetts,UoCalifornia_Berkeley,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Harnisch,1,KfW,Germany,Germany,UoGottingen,Germany,Germany,16,CLA,Ecofys_Germany_GmbH,MIT,Max-Planck_IA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Harper,1,UoMurdoch,Australia,MD,UoWestern_Australia,Australia,Australia,11,LA,Western_Australian_Government,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Held,1,UoHamburg,Germany,Germany,UoMunich,Germany,Germany,2,LA,PIK,Volkswagen_Foundation,UoMunich,Max_Planck_Institute,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hertwich,1,NTNU,Norway,Austria,UoCalifornia_Berkeley,USA,Norway,7,LA,IIASA,NTNU,AEA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Höhne,1,Ecofys_Germany_GmbH,Germany,Germany,UoUtrecht,Netherlands,Germany,13,LA,UNFCCC,UNEP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hourcade,1,CIRED,France,France,UoParis,France,France,6,LA,ADEME,SNCF,GICC,EHESS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ivanova-Boncheva,0,UABCS,Mexico,MD,UNAM,Mexico,Mexico,13,RE/VC,MD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jänicke,1,IASS,Germany,Germany,FU_Berlin,Germany,Germany,15,RE,German Chancellor's_Office,German_UNESCO_Commission,FU_Berlin,Wuppertal_Institute,DBU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jiang, Kejun",1,ERI,China,MD,TITech,Japan,China,6,CLA,MD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jiang, Leiwen",1,UCAR,USA,MD,UoAmsterdam,Netherlands,USA,14,LA,UoBrown,IIASA,CAS,IPR,CIPEC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jiang, Yi",1,UoTsinghua,China,China,UoTsinghua,China,China,9,LA,UoTsinghua,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jotzo,1,ANU,Australia,Germany,ANU,Australia,Australia,3,LA,Crawford_School,CCEP,World_Bank,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kahn-Ribeiro,0,UFRJ,Brazil,Brazil,UFRJ,Brazil,Brazil,8,RE/VC,SEARJ,CNPq,MMA,GEA,UFRJ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kainuma,0,NIES,Japan,Japan,UoKyoto,Japan,Japan,7,LA,MD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kansal,1,TERI,India,India,IIT,India,India,12,LA,MD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kheshgi,1,AIChE,USA,MD,UoMinnesota,USA,USA,10,LA,ExxonMobil_Corporate,LLL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
