Surname,Gender,Current Institution,Country of current work,Country of birth/citizenship,PhD or highest degree awarding institution,PhD or highest degree awarding country,IPCC representing country (i.e. Country of residence from IPCC doc),IPCC AR5 WGIII chapter,Role in the chapter,Other Institution 1,Other Institution 2,Other Institution 3,Other Institution 4,Other Institution 5,Other Institution 6,Other Institution 7,Other Institution 8,Other Institution 9,Other Institution 10,Other Institution 11,Other Institution 12,Other Institution 13...23,Other Institution 13...24,Other Institution 14,Other Institution 15
Kobayashi,1,Toyota_R&D,Japan,MD,MD,MD,Japan,8,LA,MD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kopp,1,RFF,USA,MD,UoNew_York,USA,USA,16,LA,RFF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Krey,1,IIASA,Austria,MD,Ruhr_UoBochum,Germany,Austria,6,LA,IIASA,RC_Julich,IPCC,EMF,UoVienna,PNNL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kriegler,1,PIK,Germany,Germany,UoPotsdam,Germany,Germany,6,LA,PIK,WBGU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Krug,0,INPE,Brazil,MD,UoSheffield,UK,Brazil,11,RE,INPE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kunreuther,1,UoPennsylvania,USA,USA,MIT,USA,USA,2,CLA,UoPennsylvania,IIASA,UoYale,IDA,UoChicago,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kverndokk,1,Frisch_Centre,Norway,Norway,UoOslo,Norway,Norway,3,RE,SNF,Statistics_Norway,UoOslo,NASL,Frisch_Centre,CREE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lanza,1,CMCC,Italy,Italy,UCL,UK,Italy,10,LA,UoEni_Corporate,FEEM,OECD,UoOxford,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lecocq,1,AgroParisTech,France,France,ENGREF,France,France,4,LA,CIRED,AgroParisTech,World_Bank,EHESS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lewis,0,UoGeorgetown,USA,USA,UoCalifornia_Berkeley,USA,USA,14,LA,US_China_CEF,UNIDO,Pew_Center_GCC,UoGeorgetown,LBNL,UoCalifornia_Berkeley,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Linnerooth-Bayer,0,IIASA,Austria,Austria,UoMaryland,USA,Austria,2,RE,TechUoVienna,IRM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lucon,1,SMA-SP,Brazil,Brazil,UoSaoPaulo,Brazil,Brazil,9,CLA,CETESB,IMT,UoSaoPaulo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lutz,1,WCDGHC,Austria,Austria,UoPennsylvania,USA,Austria,4,LA,UoOxford,MPIC,APHRC,European_Comission,IUSSP,UoVienna,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Managi,1,UoTohoku,Japan,Japan,UoRhode_Island,USA,Japan,15,LA,JoEEM,JoEDC,JoRE,JoIE,WRS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Masera-Cerutti,1,UNAM,Mexico,Mexico,UoCalifornia_Berkeley,USA,Mexico,11,LA,FAO,UNFCCC,Mexican_Government,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Massetti,1,FEEM,Italy,Italy,Cath_UoMilan,Italy,Italy,16,LA,UoVenice,UoYale,RFF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mbow,1,UoAnta_Diop,Senegal,Senegal,UoAnta_Diop/UoCopenhagen,Senegal/Denmark,Senegal,11,LA,MD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
McMahon,1,BCRPA,USA,MD,UoFlorida,USA,USA,12,LA,LBNL,UoCalifornia_Berkeley,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Michaelowa,1,UoZurich,Switzerland,Germany,UoHamburg,Germany,Switzerland,13,LA,HWWA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mirasgedis,1,NOA,Greece,MD,MD,MD,Greece,9,LA,MD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mitchell,0,UoExeter,UK,UK,UoSussex,UK,UK,15,LA,UoWarwick,UoSussex,UoCalifornia_Berkeley,UKERC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Müller,1,NTNU,Norway,Switzerland,ETH_Zurich,Switzerland,Norway,12,LA,MD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Murakami, Jin",1,UoHong_Kong,China,Japan,UoCalifornia_Berkeley,USA,China,12,LA,UoCalifornia_Berkeley,World_Bank,LILP,TRB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Muylaert-de-Araujo,0,UFRJ,Brazil,Brazil,UFRJ,Brazil,Brazil,4,LA,FUNCEFET/RJ,UFRJ,SEARJ,PNUD,UGF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nabuurs,1,UoWageningen,Netherlands,MD,UoEast_Finland,Finland,Finland,11,RE,EFI,UoEast_Finland,UoWageningen,IPCC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nakicenovic,1,IIASA,Austria,MD,UoVienna,Austria,Austria,5,LA,GEA,TechUoVienna,MD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Norgaard,1,UoCalifornia_Berkeley,USA,USA,UoChicago,USA,USA,4,LA,OregonCE,AES,UoCalifornia_Berkeley,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Paltsev,1,MIT,USA,MD,UoColorado,USA,USA,6,LA,World_Bank,UoColorado,IMCC,BSU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pálvölgy,1,Budapest_Uo_Technology_Economics,Hungary,Hungary,Hungarian_Academy_of_Sciences,Hungary,Hungary,9,RE,National_Weather_Service,Environment_Ministry,Environment_Consulting_Ltd,Budapest_Uo_Technology_and_Economics,Hungarian_Institute_of_ Geology_Geophysics,NA,ERSA,SE_Stockholm,UoOslo,European_Comission,World_Bank,NA,NA,NA,NA,NA
Pathak,1,IARI,India,India,MD,MD,India,5,LA,MD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Patt,1,ETH_Zurich,Switzerland,USA,UoHarvard,USA,Switzerland,2,LA,IIASA,UoBayreuth,UoBoston,UoHarvard,Landworks,Mad_River_Glen_Ski,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pichs-Madruga,1,CIEM,Cuba,Cuba,UNAM,Mexico,Cuba,-,CC,MD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pinguelli-Rosa,1,UFRJ,Brazil,Brazil,PUC-Rio,Brazil,Brazil,4,RE,COPPE,ELETROBRAS,UFRJ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Price,0,LBNL,USA,MD,UoWisconsin-Madison,USA,USA,10,LA,Price_Associates,MHB_Technical_Associates,US_Energy,ETAAC,CEC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ramaswami,0,UoMinnesota,USA,MD,CMU,USA,USA,12,LA,UCD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ravindranath,1,IIS,India,MD,MD,MD,India,11,LA,MD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Riahi,1,IIASA,Austria,MD,MD,MD,Austria,7,LA,GEA,MD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rice, Charles",1,UoKansas,USA,MD,UoKentucky,USA,USA,11,LA,CRC_Greenhouse_Accounting,UoKansas,UoMichigan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rice, Jake",1,DFO,Canada,Canada,UoToronto,Canada,Canada,5,LA,DFO,UoCopenhagen,MUN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Richels,1,EPRI,USA,USA,UoHarvard,USA,USA,5,LA,MD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rogner,1,IAEA,Austria,Germany,UoKarlsruhe,Germany,Austria,1,LA,IAEA,UoVictoria,IIASA,UoFlensburg,IASR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rose,1,EPRI,USA,MD,UoCornell,USA,USA,6,LA,EPA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Roy,0,UoJadavpur,India,India,UoJadavpur,India,India,10,CLA,LBNL,Muralidhar_College,UoJadavpur,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ruth,1,UoMaryland,USA,MD,UoIllinois,USA,USA,4,RE,UoMaryland,UoBoston,UoIllinois,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sathaye,1,LBNL,USA,India,MD,MD,USA,4,RE,MD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Schaeffer,1,UFRJ,Brazil,MD,UoPennsylvania,USA,Brazil,8,CLA,IAEA,UN,UFRJ,UoPennsylvania,CNPq,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Schauer,1,UoWisconsin-Madison,USA,MD,CalTech,USA,USA,8,LA,MD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Seto,0,UoYale,USA,MD,UoBoston,USA,USA,12,CLA,MD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sheinbaum,0,UNAM,Mexico,Mexico,UNAM/UCBerkeley,Mexico/USA,Mexico,10,LA,Mexican_Government,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shukla,1,IIM,India,India,UoStanford,USA,India,6,LA,UoStanford,NID,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sims,1,UoNew_Zealand,New_Zealand,UK,UoNewcastle,UK,New_Zealand,8,CLA,IEA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Skea,1,RCUK,UK,UK,U_Edinburgh,UK,UK,7,RE/VC,UKERC,PSIUK,UoSussex,ICL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Smith,1,UoAberdeen,UK,UK,MD,MD,UK,11,CLA,MD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sokona,1,ACPC,Mali,Mali,ENSMP_Ucurie,France,Mali,-,CC,OSS,EDTM,ENIB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stavins,1,UoHarvard,USA,USA,UoHarvard,USA,USA,13,CLA,MD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stern,1,ANU,Australia,UK,UoBoston,USA,Australia,5,LA,ANU,UoBoston,UoYork,RPI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sterner,1,UoGothenburg,Sweden,Sweden,UoGothenburg,Sweden,Sweden,15,CLA,Bank_of_Gothenburg,UoGothenburg,World_Bank,SSB,Environment_Defense_Fund,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Strachan,1,UCL,UK,UK,CMU,USA,UK,7,LA,UCL,KCL,UKERC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sugiyama,1,CRIEPI,Japan,Japan,UoTokyo,Japan,Japan,15,CLA,IIASA,CRIEPI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Suh,1,UoCalifornia_SantaBarbara,USA,MD,UoLeiden,Netherlands,USA,5,CLA,UoCalifornia_SantaBarbara,CMU,UoMinnesota,UoLeiden,UoAjou,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tanaka,0,JST,Japan,Japan,UoTokyo,Japan,Japan,10,LA,IEA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tavoni,1,CMCC,Italy,Italy,Cath_UoMilan,Italy,Italy,6,LA,FEEM,UoVenice,Prometeia_Spa,Italian_Development_Cooperation,NA,NA,JHU,SAIS,NA,NA,NA,NA,NA,NA,NA,NA
Toth,1,IAEA,Austria,Hungary,UoBudapest,Hungary,Hungary,5,LA,IIASA,PIK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tubiello,1,FAO,Italy,Italy,NYU,USA,Italy,11,LA,Biosphere2Agriculture,UoColumbia,GET-Carbon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Urama,1,ATPS,Kenya,MD,UoCambridge,UK,Kenya,3,CLA,ASEE,UoStellenbosch,UoMurdoch,OECD,UNESCO,ACCAI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ürge-Vorsatz,0,CEU,Hungary,MD,UoCalifornia_Berkeley,USA,Hungary,9,CLA,CEU,3CSEP,LBNL,UoCalifornia_LosAngeles,UoEotvos,Bechtel_Corporation,UoCalifornia_Berkeley,NA,NA,NA,NA,NA,NA,NA,NA,NA
Van-der-Zwaan,1,ECN,Netherlands,Netherlands,UoNijmegen,Netherlands,Netherlands,6,LA,UoHarvard,UoVrije,UoStanford,IFRI,CERN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Van-Vuuren,1,UoUtrecht,Netherlands,Netherlands,UoUtrecht,Netherlands,Netherlands,6,LA,UoUtrecht,UoLeiden,RIVM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Verbruggen,1,UoAntwerp,Belgium,Belgium,UoAntwerp,Belgium,Belgium,5,RE,IESD,REGASA,CINERGIE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Victor,1,UCSD,USA,USA,MIT,USA,USA,1,CLA,UCSD,Stanford_LS,UoStanford,CFR,IIASA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weber,0,UoColumbia,USA,MD,UoHarvard,USA,USA,2,LA,UoColumbia,UoOhio,WHU,UoChicago,UoIllinois,UoToronto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weyant,1,UoStanford,USA,MD,UoCalifornia_Berkeley,USA,USA,6,RE,ETAAC,IAMC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Winkler,1,UoCape_Town,South_Africa,South_Africa,UoCape_Town,South_Africa,South_Africa,13,LA,ERC,Common_Ground_Consulting,Regional_Land_Claims_Commission,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wiser,1,LBNL,USA,MD,UoCalifornia_Berkeley,USA,USA,7,LA,CEC,HMcH_Inc,Betchel_Corp,AESco,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Yamaguchi,1,KOMEX,Japan,Japan,UoKeio,Japan,Japan,1,LA,KOMEX,RCAST,UoKeio,UoTeikyo,UoSophia,TMFIco,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Yamba,1,UoZambia,Zambia,Zambia,UoLeeds,UK,Zambia,-,VC,UoZambia,Moscow_AP,Mech_SB,FEIZ,CEEEZ,INDECO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zhang,1,UoTsinghua,China,China,UoTsinghua,China,China,7,LA,CNSSF,MD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
